instant,heading,roll,pitch
0.001,2.346223,-0.117443,-0.038749
0.101,2.343857,-0.117129,-0.009131
0.202,2.34427,-0.12857,0.024277
0.301,2.348711,-0.12752,0.047591
0.400,2.354456,-0.13661,0.056466
0.501,2.359993,-0.139307,0.048537
0.601,2.364142,-0.144343,0.019471
0.702,2.365584,-0.150119,-0.011974
0.800,2.364287,-0.165749,-0.043092
0.901,2.361644,-0.171753,-0.071049
1.000,2.356869,-0.17316,-0.101085
1.101,2.3499,-0.17388,-0.13079
1.201,2.340121,-0.171837,-0.155818
1.300,2.329456,-0.161998,-0.172358
1.400,2.31912,-0.153105,-0.165842
1.500,2.30935,-0.146697,-0.1451
1.599,2.304026,-0.135992,-0.107008
1.698,2.303424,-0.122808,-0.065736
1.800,2.306817,-0.108815,-0.030045
1.900,2.311564,-0.106844,-0.004956
2.000,2.317261,-0.087412,0.011692
2.099,2.322788,-0.082034,0.014051
2.199,2.326047,-0.075071,0.009335
2.300,2.325856,-0.079115,0.003814
2.398,2.325961,-0.075155,-0.003361
2.499,2.331555,-0.081707,-0.012752
2.599,2.327576,-0.082078,-0.024705
2.698,2.32233,-0.097434,-0.030445
2.804,2.317786,-0.107999,-0.025774
2.896,2.314426,-0.118887,-0.017178
3.001,2.313381,-0.121691,-0.014966
3.099,2.311951,-0.131497,-0.022496
3.197,2.31049,-0.13911,-0.039684
3.297,2.30926,-0.140412,-0.050584
3.397,2.308788,-0.13928,-0.059891
3.498,2.309264,-0.137318,-0.068811
3.597,2.308802,-0.138362,-0.079225
3.698,2.307281,-0.142991,-0.086649
3.796,2.305436,-0.134574,-0.088104
3.897,2.304032,-0.133584,-0.084426
3.996,2.306653,-0.123718,-0.071923
4.098,2.306619,-0.128207,-0.060895
4.196,2.306975,-0.125564,-0.048001
4.296,2.305408,-0.131353,-0.04383
4.395,2.303781,-0.135285,-0.037485
4.495,2.302285,-0.142393,-0.037707
4.596,2.299985,-0.142522,-0.038174
4.695,2.29631,-0.14844,-0.038148
4.796,2.303034,-0.154987,-0.033467
4.896,2.299365,-0.15322,-0.028547
4.998,2.297346,-0.143591,-0.023361
5.095,2.296905,-0.136717,-0.021104
